Price,Close,High,Low,Open,Volume,MA5,MA10,Buy
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,
Date,,,,,,,,
2024-12-30,417.4100036621094,427.0,415.75,419.3999938964844,64941000,,,False
2024-12-31,403.8399963378906,427.92999267578125,402.5400085449219,423.7900085449219,76825100,,,False
2025-01-02,379.2799987792969,392.7300109863281,373.0400085449219,390.1000061035156,109710700,,,False
2025-01-03,410.44000244140625,411.8800048828125,379.45001220703125,381.4800109863281,95423300,,,False
2025-01-06,411.04998779296875,426.42999267578125,401.70001220703125,423.20001220703125,85516500,404.40399780273435,,False
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500,399.793994140625,,False
2025-01-08,394.94000244140625,402.5,387.3999938964844,392.95001220703125,73038800,398.0139953613281,,False
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300,401.1059936523437,,False
2025-01-13,403.30999755859375,403.7900085449219,380.07000732421875,383.2099914550781,67580500,399.67999267578125,,False
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000,396.7419921875,400.5729949951172,False
2025-01-15,428.2200012207031,429.79998779296875,405.6600036621094,409.8999938964844,81375500,403.5139953613281,401.65399475097655,True
2025-01-16,413.82000732421875,424.0,409.1300048828125,423.489990234375,68335200,407.2899963378906,402.65199584960936,False
2025-01-17,426.5,439.739990234375,419.75,421.5,94991400,413.6419982910156,407.3739959716797,False
2025-01-21,424.07000732421875,433.20001220703125,406.30999755859375,432.6400146484375,87320900,417.79400024414065,408.73699645996095,False
2025-01-22,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300,421.54400024414065,409.1429962158203,False
2025-01-23,412.3800048828125,420.7300109863281,408.95001220703125,416.05999755859375,50690600,418.3760009765625,410.9449981689453,False
2025-01-24,406.5799865722656,418.8800048828125,405.7799987792969,414.45001220703125,56427100,416.92799682617186,412.10899658203124,False
2025-01-27,397.1499938964844,406.69000244140625,389.0,394.79998779296875,58125500,411.05799560546876,412.34999694824216,False
2025-01-28,398.0899963378906,400.5899963378906,386.5,396.9100036621094,48910700,405.86199340820315,411.8279968261719,False
2025-01-29,389.1000061035156,398.5899963378906,384.4800109863281,395.2099914550781,68033600,400.6599975585938,411.1019989013672,False
2025-01-30,400.2799987792969,412.5,384.4100036621094,410.7799987792969,98092900,398.2399963378906,408.30799865722656,False
2025-01-31,404.6000061035156,419.989990234375,401.3399963378906,401.5299987792969,83568200,397.8440002441406,407.38599853515626,False
2025-02-03,383.67999267578125,389.1700134277344,374.3599853515625,386.67999267578125,93732100,395.15,403.1039978027344,False
2025-02-04,392.2099914550781,394.0,381.3999938964844,382.6300048828125,57072200,393.9739990234375,399.9179962158203,False
2025-02-05,378.1700134277344,388.3900146484375,375.5299987792969,387.510009765625,57223300,391.7880004882812,396.2239990234375,False
2025-02-06,374.32000732421875,375.3999938964844,363.17999267578125,373.0299987792969,77918200,386.59600219726565,392.4179992675781,False
2025-02-07,361.6199951171875,380.54998779296875,360.3399963378906,370.19000244140625,70298300,378.0,387.9220001220703,False
2025-02-10,350.7300109863281,362.70001220703125,350.510009765625,356.2099914550781,77514900,371.4100036621094,383.2800018310547,False
2025-02-11,328.5,349.3699951171875,325.1000061035156,345.79998779296875,118543400,358.6680053710937,376.3210021972656,False
2025-02-12,336.510009765625,346.3999938964844,329.1199951171875,329.94000244140625,105382700,350.33600463867185,371.06200256347654,False
2025-02-13,355.94000244140625,358.69000244140625,342.8500061035156,345.0,89441500,346.6600036621094,366.6280029296875,False
2025-02-14,355.8399963378906,362.0,347.5,360.6199951171875,68277300,345.50400390625,361.752001953125,False
2025-02-18,354.1099853515625,359.1000061035156,350.0199890136719,355.010009765625,51631700,346.17999877929685,358.7950012207031,False
2025-02-19,360.55999755859375,367.3399963378906,353.6700134277344,354.0,67094400,352.5919982910156,355.6300018310547,False
2025-02-20,354.3999938964844,362.29998779296875,348.0,361.510009765625,45965400,356.1699951171875,353.2529998779297,True
2025-02-21,337.79998779296875,354.9800109863281,334.4200134277344,353.44000244140625,74058600,352.5419921875,349.6009979248047,False
2025-02-24,330.5299987792969,342.3999938964844,324.70001220703125,338.1400146484375,76052300,347.47999267578126,346.49199829101565,False
2025-02-25,302.79998779296875,328.8900146484375,297.25,327.0199890136719,134228800,337.2179931640625,341.69899597167966,False
2025-02-26,290.79998779296875,309.0,288.0400085449219,303.7099914550781,100118300,323.2659912109375,337.9289947509766,False
2025-02-27,281.95001220703125,297.2300109863281,280.8800048828125,291.1600036621094,101748200,308.7759948730469,332.4729949951172,False
2025-02-28,292.9800109863281,293.8800048828125,273.6000061035156,279.5,115697000,299.81199951171874,326.1769958496094,False
2025-03-03,284.6499938964844,303.94000244140625,277.29998779296875,300.3399963378906,115551400,290.63599853515626,319.05799560546876,False
2025-03-04,272.0400085449219,284.3500061035156,261.8399963378906,270.92999267578125,126706600,284.4840026855469,310.8509979248047,False
2025-03-05,279.1000061035156,279.54998779296875,267.7099914550781,272.9200134277344,94042900,282.1440063476563,302.7049987792969,False
2025-03-06,263.45001220703125,272.6499938964844,260.0199890136719,272.05999755859375,98451600,278.4440063476562,293.61000061035156,False
2025-03-07,262.6700134277344,266.25,250.72999572753906,259.32000732421875,102369600,272.3820068359375,286.0970031738281,False
2025-03-10,222.14999389648438,253.3699951171875,220.0,252.5399932861328,189076900,259.8820068359375,275.2590026855469,False
2025-03-11,230.5800018310547,237.05999755859375,217.02000427246094,225.30999755859375,174896400,251.59000549316406,268.0370040893555,False
2025-03-12,248.08999633789062,251.83999633789062,241.10000610351562,247.22000122070312,142215700,245.38800354003905,263.76600494384763,False
2025-03-13,240.67999267578125,248.2899932861328,232.60000610351562,248.1300048828125,114813500,240.83399963378906,259.63900299072264,False
2025-03-14,249.97999572753906,251.5800018310547,240.72999572753906,247.30999755859375,100242300,238.29599609375,255.33900146484376,False
2025-03-17,238.00999450683594,245.39999389648438,232.8000030517578,245.05999755859375,111900600,241.4679962158203,250.6750015258789,False
2025-03-18,225.30999755859375,230.10000610351562,222.27999877929688,228.16000366210938,111477600,240.41399536132812,246.0020004272461,False
2025-03-19,235.86000061035156,241.41000366210938,229.1999969482422,231.61000061035156,111993800,237.9679962158203,241.6779998779297,False
2025-03-20,236.25999450683594,238.0,230.0500030517578,233.35000610351562,99028300,237.08399658203126,238.95899810791016,False
2025-03-21,248.7100067138672,249.52000427246094,234.5500030517578,234.99000549316406,132728700,236.8299987792969,237.56299743652343,False
2025-03-24,278.3900146484375,278.6400146484375,256.3299865722656,258.0799865722656,169079900,244.9060028076172,243.18699951171874,True
2025-03-25,288.1400146484375,288.20001220703125,271.2799987792969,283.6000061035156,150361500,257.4720062255859,248.94300079345703,False
2025-03-26,272.05999755859375,284.8999938964844,266.510009765625,282.6600036621094,153629800,264.7120056152344,251.34000091552736,False
2025-03-27,273.1300048828125,291.8500061035156,271.82000732421875,272.4800109863281,162572100,272.0860076904297,254.58500213623046,False
2025-03-28,263.54998779296875,276.1000061035156,260.57000732421875,275.5799865722656,123809400,275.05400390625,255.94200134277344,False
2025-03-31,259.1600036621094,260.55999755859375,243.36000061035156,249.30999755859375,134008900,271.2080017089844,258.05700225830077,False
2025-04-01,268.4599914550781,277.45001220703125,259.25,263.79998779296875,146486900,267.2719970703125,262.3720016479492,False
2025-04-02,282.760009765625,284.989990234375,251.27000427246094,254.60000610351562,212787800,269.41199951171876,267.06200256347654,False
2025-04-03,267.2799987792969,276.29998779296875,261.510009765625,265.2900085449219,136174300,268.24199829101565,270.1640029907227,False
2025-04-04,239.42999267578125,261.0,236.0,255.3800048828125,181229400,263.4179992675781,269.2360015869141,False
2025-04-07,233.2899932861328,252.0,214.25,223.77999877929688,183453800,258.24399719238284,264.7259994506836,False
2025-04-08,221.86000061035156,250.44000244140625,217.8000030517578,245.0,171603500,248.9239990234375,258.097998046875,False
2025-04-09,272.20001220703125,274.69000244140625,223.8800048828125,224.69000244140625,219433400,246.81199951171874,258.11199951171875,False
2025-04-10,252.39999389648438,262.489990234375,239.3300018310547,260.0,181722600,243.83599853515625,256.03899841308595,False
2025-04-11,252.30999755859375,257.739990234375,241.36000061035156,251.83999633789062,128948100,246.41199951171876,254.91499938964844,False
2025-04-14,252.35000610351562,261.79998779296875,245.92999267578125,258.3599853515625,100135200,250.2240020751953,254.23399963378907,False
2025-04-15,254.11000061035156,258.75,247.5399932861328,249.91000366210938,79594300,256.6740020751953,252.79900054931642,True
2025-04-16,241.5500030517578,251.97000122070312,233.88999938964844,247.61000061035156,112378700,250.54400024414062,248.6779998779297,False
2025-04-17,241.3699951171875,244.33999633789062,237.67999267578125,243.47000122070312,83404800,248.33800048828124,246.08699951171874,False
2025-04-21,227.5,232.2100067138672,222.7899932861328,230.25999450683594,97768000,243.3760009765625,244.8940002441406,False
2025-04-22,237.97000122070312,242.7899932861328,229.85000610351562,230.9600067138672,120858500,240.5,245.36200103759765,False
2025-04-23,250.74000549316406,259.45001220703125,244.42999267578125,254.86000061035156,150381900,239.8260009765625,248.2500015258789,False
2025-04-24,259.510009765625,259.5400085449219,249.1999969482422,250.5,94464200,243.41800231933593,246.9810012817383,False
2025-04-25,284.95001220703125,286.8500061035156,259.6300048828125,261.69000244140625,167560700,252.13400573730468,250.23600311279296,True
2025-04-28,285.8800048828125,294.8599853515625,272.4200134277344,288.9800109863281,151731800,263.8100067138672,253.59300384521484,False
2025-04-29,292.0299987792969,293.32000732421875,279.4700012207031,285.5,108906600,274.62200622558595,257.56100311279295,False
2025-04-30,282.1600036621094,284.45001220703125,270.7799987792969,279.8999938964844,128961100,280.906005859375,260.3660034179687,False
2025-05-01,280.5199890136719,290.8699951171875,279.80999755859375,280.010009765625,99659000,285.1080017089844,264.2630020141602,False
2025-05-02,287.2099914550781,294.7799987792969,279.80999755859375,284.8999938964844,114454700,285.55999755859375,268.84700164794924,False
2025-05-05,280.260009765625,284.8500061035156,274.3999938964844,284.57000732421875,94618900,284.4359985351563,274.12300262451174,False
2025-05-06,275.3500061035156,277.7300109863281,271.3500061035156,273.1099853515625,76715800,281.1,277.86100311279296,False
2025-05-07,276.2200012207031,277.9200134277344,271.0,276.8800048828125,71592600,279.91199951171876,280.40900268554685,False
2025-05-08,284.82000732421875,289.79998779296875,279.4100036621094,279.6300048828125,97539400,280.7720031738281,282.94000244140625,False
2025-05-09,298.260009765625,307.0400085449219,290.0,290.2099914550781,132387800,282.9820068359375,284.2710021972656,False
2025-05-12,318.3800048828125,322.2099914550781,311.5,321.989990234375,112826700,290.606005859375,287.5210021972656,True
2025-05-13,334.07000732421875,337.5899963378906,316.79998779296875,320.0,136992600,302.3500061035156,291.7250030517578,False
2025-05-14,347.67999267578125,350.0,337.0,342.5,136997300,316.6420043945312,298.277001953125,False
2025-05-15,342.82000732421875,346.1400146484375,334.7200012207031,340.3399963378906,97882600,328.24200439453125,304.5070037841797,False
2025-05-16,349.9800109863281,351.6199951171875,342.3299865722656,346.239990234375,95895700,338.58600463867185,310.7840057373047,False
2025-05-19,342.0899963378906,343.0,333.3699951171875,336.29998779296875,88869900,343.3280029296875,316.9670043945313,False
2025-05-20,343.82000732421875,354.989990234375,341.6300048828125,347.8699951171875,131715500,345.2780029296875,323.8140045166016,False
2025-05-21,334.6199951171875,347.3500061035156,332.20001220703125,344.42999267578125,102354800,342.66600341796874,329.65400390625,False
2025-05-22,341.0400085449219,347.2699890136719,331.3900146484375,331.8999938964844,97113400,342.31000366210935,335.2760040283203,False
2025-05-23,339.3399963378906,343.17999267578125,333.2099914550781,337.9200134277344,84654800,340.1820007324219,339.3840026855469,False
2025-05-27,362.8900146484375,363.7900085449219,347.32000732421875,347.3500061035156,120146400,344.3420043945313,343.8350036621094,False
2025-05-28,356.8999938964844,365.0,355.9100036621094,364.8399963378906,91404300,346.9580017089844,346.1180023193359,False
2025-05-29,358.42999267578125,367.7099914550781,356.0,365.2900085449219,88545700,351.7200012207031,347.19300231933596,False
2025-05-30,346.4599914550781,363.67999267578125,345.2900085449219,355.5199890136719,123474900,352.8039978027344,347.5570007324219,False
2025-06-02,342.69000244140625,348.0199890136719,333.3299865722656,343.5,81873800,353.4739990234375,346.8279998779297,False
2025-06-03,344.2699890136719,355.3999938964844,343.0400085449219,346.6000061035156,99324500,349.7499938964844,347.04599914550784,False
2025-06-04,332.04998779296875,345.6000061035156,327.3299865722656,345.1000061035156,98912100,344.7799926757813,345.86899719238284,False
2025-06-05,284.70001220703125,324.54998779296875,273.2099914550781,322.489990234375,287499800,330.03399658203125,340.8769989013672,False
2025-06-06,295.1400146484375,305.5,291.1400146484375,298.8299865722656,164747700,319.77000122070314,336.28699951171876,False
2025-06-09,308.5799865722656,309.8299865722656,281.8500061035156,285.9599914550781,140908900,312.947998046875,333.21099853515625,False
2025-06-10,326.0899963378906,327.8299865722656,310.6700134277344,314.94000244140625,151256500,309.31199951171874,329.53099670410154,False
2025-06-11,326.42999267578125,335.5,322.5,334.3999938964844,122611400,308.18800048828126,326.48399658203124,False
2025-06-12,319.1099853515625,332.55999755859375,316.8599853515625,323.0799865722656,105127500,315.0699951171875,322.5519958496094,False
2025-06-13,325.30999755859375,332.989990234375,313.29998779296875,313.9700012207031,128964300,321.10399169921874,320.43699645996094,True
2025-06-16,329.1300048828125,332.04998779296875,326.4100036621094,331.2900085449219,83925900,325.2139953613281,319.08099670410155,False
2025-06-17,316.3500061035156,327.260009765625,314.739990234375,326.0899963378906,88282700,323.2659973144531,316.28899841308595,False
2025-06-18,322.04998779296875,329.32000732421875,315.45001220703125,317.30999755859375,95137700,322.38999633789064,315.28899841308595,False
2025-06-20,322.1600036621094,332.3599853515625,317.7799987792969,327.95001220703125,108688000,323.0,319.0349975585938,False
2025-06-23,348.67999267578125,357.5400085449219,327.4800109863281,327.5400085449219,190716800,327.6739990234375,324.3889953613281,False
2025-06-24,340.4700012207031,356.260009765625,340.44000244140625,356.1700134277344,114736200,329.94199829101564,327.5779968261719,False
2025-06-25,327.54998779296875,343.0,320.3999938964844,342.70001220703125,119845100,332.18199462890624,327.7239959716797,False
2025-06-26,325.7799987792969,331.04998779296875,323.6099853515625,324.6099853515625,80440900,332.92799682617186,327.65899658203125,False
2025-06-27,323.6300048828125,329.3399963378906,317.5,324.510009765625,88826400,333.2219970703125,328.1109985351562,False
